animal_project_code,release_station,upstream_stations
2021_YEELAZ,rel_cruz1,
2021_YEELAZ,rel_cruz2,"148 FLO CRUZ, 149 FLO CRUZ, 150 FLO CRUZ, 151 FLO CRUZ, 152 FLO CRUZ, 153 FLO CRUZ, 154 FLO CRUZ, 155 FLO CRUZ, 156 FLO CRUZ, 157 FLO CRUZ"
2021_YEELAZ,rel_cruz3,"149 FLO CRUZ, 150 FLO CRUZ, 151 FLO CRUZ, 152 FLO CRUZ, 153 FLO CRUZ, 154 FLO CRUZ, 155 FLO CRUZ, 156 FLO CRUZ, 157 FLO CRUZ"
2021_YEELAZ,rel_cruz4,"150 FLO CRUZ, 151 FLO CRUZ, 152 FLO CRUZ, 153 FLO CRUZ, 154 FLO CRUZ, 155 FLO CRUZ, 156 FLO CRUZ, 157 FLO CRUZ"
2021_YEELAZ,rel_cruz5,"152 FLO CRUZ, 153 FLO CRUZ, 154 FLO CRUZ, 155 FLO CRUZ, 156 FLO CRUZ, 157 FLO CRUZ"
2021_YEELAZ,rel_cruz6,"152 FLO CRUZ, 153 FLO CRUZ, 154 FLO CRUZ, 155 FLO CRUZ, 156 FLO CRUZ, 157 FLO CRUZ"
2021_YEELAZ,rel_cruz7,"156 FLO CRUZ, 157 FLO CRUZ"
2021_YEELAZ,rel_cruz8,157 FLO CRUZ
2021_YEELAZ,rel_cruz9,157 FLO CRUZ
2021_YEELAZ,rel_cruz10,157 FLO CRUZ
